actualTime;quantity
10.4074;1702
10.4075;1703
10.4094;1704
10.4112;1705
10.4118;1706
10.4158;1707
10.4163;1708
10.4168;1709
10.417;1710
10.4226;1711
10.4235;1712
10.4247;1713
10.4278;1714
10.4291;1715
10.4337;1716
10.4353;1717
10.4359;1718
10.4392;1719
10.442;1720
10.4442;1721
10.4473;1722
10.4551;1723
10.4586;1724
10.4614;1725
10.4642;1726
10.471;1727
10.4744;1728
10.4926;1729
10.5016;1730
10.5029;1731
10.5064;1732
10.5069;1733
10.5077;1734
10.5079;1735
10.5095;1736
10.5111;1737
10.5113;1738
10.5142;1739
10.5147;1740
10.5181;1741
10.5238;1742
10.5368;1743
10.538;1744
10.5386;1745
10.5421;1746
10.5469;1747
10.5477;1748
10.5481;1749
10.5492;1750
10.5525;1751
10.5573;1752
10.5592;1753
10.5648;1754
10.5722;1755
10.5741;1756
10.5794;1757
10.5812;1758
10.5856;1759
10.5898;1760
10.5905;1761
10.5995;1762
10.6007;1763
10.6009;1764
10.6027;1765
10.6087;1766
10.6124;1767
10.6161;1768
10.6218;1769
10.6239;1770
10.6256;1771
10.6272;1772
10.6278;1773
10.6286;1774
10.6292;1775
10.6311;1776
10.6353;1777
10.6363;1778
10.638;1779
10.6395;1780
10.644;1781
10.6454;1782
10.6455;1783
10.6468;1784
10.6502;1785
10.6537;1786
10.6546;1787
10.6626;1788
10.6639;1789
10.6646;1790
10.6669;1791
10.6735;1792
10.6739;1793
10.679;1794
10.6831;1795
10.6858;1796
10.6907;1797
10.6911;1798
10.6913;1799
10.6915;1800
10.6916;1801
10.6987;1802
10.7022;1803
10.7032;1804
10.7081;1805
10.7084;1806
10.7115;1807
10.7165;1808
10.7191;1809
10.7214;1810
10.724;1811
10.7241;1812
10.727;1813
10.7295;1814
10.7297;1815
10.7355;1816
10.7399;1817
10.7442;1818
10.7446;1819
10.7464;1820
10.7501;1821
10.7531;1822
10.7629;1823
10.7701;1824
10.7719;1825
10.7727;1826
10.7768;1827
10.7778;1828
10.7877;1829
10.7885;1830
10.7887;1831
10.7909;1832
10.7921;1833
10.7953;1834
10.7962;1835
10.797;1836
10.7972;1837
10.7976;1838
10.798;1839
10.8012;1840
10.8039;1841
10.8052;1842
10.8075;1843
10.8086;1844
10.8136;1845
10.815;1846
10.8159;1847
10.8196;1848
10.8202;1849
10.8261;1850
10.8315;1851
10.833;1852
10.8336;1853
10.8358;1854
10.8362;1855
10.8365;1856
10.8377;1857
10.8402;1858
10.8413;1859
10.8415;1860
10.843;1861
10.8439;1862
10.8452;1863
10.8514;1864
10.852;1865
10.8526;1866
10.8546;1867
10.8553;1868
10.8563;1869
10.86;1870
10.8616;1871
